Corruption Chance: , Trial 1:, Trial 2:, Trial 3:, Trial 4:, Trial 5:, Trial 6:, Trial 7:, Trial 8:, Trial 9:, Trial 10:, Average: 

Optimal Window Size Trials

1,3078.389, 2786.486, 3295.331, 2879.504, 3143.98, 2799.309, 2542.097, 3196.339, 3135.558, 3012.0049999999997, 2986.8998
2,417.448, 431.496, 337.17, 428.50300000000004, 613.822, 442.06800000000004, 470.279, 389.535, 445.083, 479.195, 445.4599
5,238.32999999999998, 220.92700000000002, 220.274, 217.90300000000002, 237.868, 218.899, 224.28400000000002, 218.812, 219.786, 218.271, 223.53540000000004
10,233.85, 220.48000000000002, 215.774, 221.816, 234.36499999999998, 235.984, 215.88199999999998, 234.91500000000002, 221.32, 217.772, 225.2158
20,220.138, 217.082, 218.81, 218.818, 219.35299999999998, 218.831, 216.91299999999998, 220.838, 217.923, 222.515, 219.1221
30,222.835, 221.664, 222.773, 224.78, 222.772, 222.773, 222.773, 222.773, 222.772, 220.766, 222.66809999999995
40,239.036, 222.56500000000003, 219.787, 222.37599999999998, 218.45600000000002, 223.282, 217.894, 222.33700000000002, 220.175, 221.36, 222.7268
50,222.285, 218.97, 215.881, 218.411, 219.46699999999998, 222.31300000000002, 237.991, 222.31500000000003, 218.36700000000002, 223.37199999999999, 221.93720000000002
1,3172.0130000000004, 3093.451, 2876.944, 2884.381, 2767.738, 2881.301, 2908.821, 3125.67, 3053.7830000000004, 2742.527, 2950.6628999999994
2,456.604, 426.06, 392.804, 472.20099999999996, 391.66499999999996, 423.101, 406.01, 488.19, 424.122, 446.077, 432.6834
5,220.315, 219.801, 222.328, 223.75400000000002, 221.819, 219.03900000000002, 220.125, 217.908, 220.839, 215.981, 220.19089999999997
10,221.56400000000002, 219.017, 224.082, 224.779, 223.77700000000002, 221.769, 208.724, 206.717, 207.72, 236.822, 219.4971
20,222.772, 224.78, 206.516, 204.77200000000002, 216.975, 218.869, 218.82399999999998, 208.228, 220.953, 221.281, 216.39700000000002
30,221.986, 221.812, 205.757, 223.309, 218.864, 206.24300000000002, 206.77100000000002, 220.365, 219.796, 220.11700000000002, 216.502
40,220.875, 222.27700000000002, 206.76600000000002, 217.87300000000002, 234.879, 206.294, 203.859, 219.963, 221.316, 219.53, 217.3632
50,232.354, 218.827, 219.364, 217.812, 219.935, 216.87400000000002, 217.82000000000002, 222.479, 220.802, 215.841, 220.2108
1,1257.422, 1575.4669999999999, 1809.288, 1354.059, 1696.1390000000001, 1261.7130000000002, 1297.348, 1315.3619999999999, 1423.171, 1757.864, 1474.7832999999998
2,1318.813, 1558.763, 1451.693, 1484.931, 1325.277, 1601.325, 1287.031, 1788.202, 1543.576, 1515.062, 1487.4673
5,1581.2630000000001, 1686.093, 1350.741, 1755.087, 1639.876, 1445.009, 1404.924, 1704.952, 1576.2910000000002, 1384.085, 1552.8320999999996
10,1137.146, 1368.305, 1363.686, 1486.373, 1616.13, 1453.3020000000001, 1391.2389999999998, 1184.107, 1592.589, 1900.53, 1449.3407000000002
20,1420.856, 1484.7740000000001, 1626.504, 1640.506, 1345.113, 1269.179, 1827.0169999999998, 1642.43, 1448.866, 1507.362, 1521.2607
30,1547.059, 1693.502, 1423.907, 1094.981, 1198.156, 1348.724, 1709.624, 1684.06, 1630.6689999999999, 1550.392, 1488.1073999999999
40,1749.536, 1515.255, 1432.6950000000002, 1535.558, 1487.039, 1421.2959999999998, 1668.887, 1306.263, 1370.7549999999999, 1471.327, 1495.8611
50,1603.89, 1677.6850000000002, 1292.483, 1737.464, 1423.2279999999998, 1515.255, 1456.612, 1521.086, 1759.831, 1400.358, 1538.7892000000002
1,2924.083, 3303.57, 2837.3759999999997, 3374.8089999999997, 3249.147, 3532.887, 3147.839, 3186.648, 3115.493, 3274.266, 3194.6117999999997
2,3511.669, 3490.0159999999996, 3545.188, 3226.6110000000003, 3198.351, 3544.8759999999997, 3109.121, 3529.1130000000003, 3234.229, 3052.8430000000003, 3344.2017
5,3464.027, 2925.0759999999996, 3268.752, 3692.3140000000003, 3116.793, 3543.278, 3516.928, 4010.198, 3524.112, 2847.764, 3390.9242
10,3236.109, 3143.647, 3221.167, 3269.496, 2956.677, 3560.1620000000003, 3402.512, 3161.307, 3802.414, 3394.067, 3314.7558
20,3188.998, 3578.719, 3632.8559999999998, 3145.022, 2982.533, 3564.282, 2998.707, 3391.518, 3439.541, 2739.9990000000003, 3266.2174999999997
30,3310.985, 3250.66, 3449.009, 3470.733, 2882.761, 3371.899, 3006.116, 3128.502, 3277.7799999999997, 3554.853, 3270.3298
40,3080.724, 3034.596, 3504.861, 3112.881, 3832.476, 3341.92, 3476.4469999999997, 3184.433, 3102.9390000000003, 3245.922, 3291.7199
50,3071.3469999999998, 2711.246, 3802.28, 2997.317, 3186.694, 3547.6899999999996, 3317.6130000000003, 3353.567, 3146.701, 3043.799, 3217.8253999999997
