Corruption Chance: , Trial 1:, Trial 2:, Trial 3:, Trial 4:, Trial 5:, Average: 

Package Error Trials:
0,589.6120000000001, 701.794, 451.582, 591.9870000000001, 714.8679999999999, 609.9685999999999
5,894.9730000000001, 2122.4500000000003, 929.28, 2554.95, 838.8670000000001, 1468.104
10,2114.6690000000003, 1642.8709999999999, 1019.1909999999999, 1088.3609999999999, 1085.855, 1390.1894
15,1099.567, 1128.812, 1131.039, 1023.5229999999999, 1334.03, 1143.3942
20,1175.177, 1444.446, 1554.278, 1227.924, 1337.2839999999999, 1347.8218

Data Packet loss trials:

0,575.751, 591.0210000000001, 575.386, 611.1320000000001, 646.5229999999999, 599.9626000000001
5,804.476, 820.72, 990.071, 961.2819999999999, 851.5500000000001, 885.6198
10,1052.164, 886.4830000000001, 898.8549999999999, 880.579, 950.305, 933.6772000000001
15,834.2629999999999, 837.4540000000001, 1063.819, 1038.501, 1071.2759999999998, 969.0626
20,965.937, 939.449, 1080.4279999999999, 1061.359, 964.215, 1002.2776
